発表週番号,加入者番号,レース開催日,競馬場コード,レース番号,単勝参加ポイント,複勝参加ポイント,枠連参加ポイント,馬連参加ポイント,ワイド参加ポイント,馬単参加ポイント,３連複参加ポイント,３連単参加ポイント,単勝的中ポイント,複勝的中ポイント,枠連的中ポイント,馬連的中ポイント,ワイド的中ポイント,馬単的中ポイント,３連複的中ポイント,３連単的中ポイント
1,90152708,20160605,9,11,5,0,0,10,0,0,20,20,44,0,0,0,0,0,50,750
1,90059771,20160605,9,11,5,0,0,10,0,0,20,20,44,10,0,115,40,324,50,750
1,90370817,20160605,9,11,5,0,0,10,0,0,20,20,44,0,0,115,0,0,0,750
1,90035925,20160605,9,11,5,0,0,10,0,0,20,20,44,30,10,115,40,324,50,750
1,90078330,20160605,9,11,5,0,0,10,0,0,20,20,44,10,0,115,12,324,50,750
1,90606476,20160605,9,11,5,0,0,10,0,0,20,20,44,10,0,115,40,0,0,750
1,90097800,20160605,9,11,5,0,0,10,0,0,20,20,44,0,0,115,40,0,50,750
1,90118963,20160605,9,11,5,0,0,10,0,0,20,20,44,10,0,0,0,324,0,750
